year,state,report,farmtype,category,category_value,category2,category2_value,variable_name_x,variable_sequence_x,variable_level,variable_unit_x,variable_description_x,variable_is_invalid,estimate_x,statistic,rse_x,unreliable_estimate,decimal_display,variable_name_y,variable_sequence_y,variable_unit_y,variable_description_y,estimate_y,rse_y,bins,RandomDate,JulianDate
2015,All survey states,Structural Characteristics,All Farms,Operator Age,34 years or younger,All Farms,TOTAL,Total value of production,20,1,"1,000 Dollars",Total value of production,False,15371439.0,TOTAL,14.5,0,0,Total acres operated,30,"1,000 Acres",Total acres operated,33525.0,29.8,Very Low,2015-12-01,15335
2013,All survey states,Structural Characteristics,All Farms,Operator Age,34 years or younger,All Farms,TOTAL,Total value of production,20,1,"1,000 Dollars",Total value of production,False,16626030.0,TOTAL,13.3,0,0,Total acres operated,30,"1,000 Acres",Total acres operated,31883.0,26.6,Very Low,2013-05-10,13130
2012,All survey states,Structural Characteristics,All Farms,Operator Age,34 years or younger,All Farms,TOTAL,Total value of production,20,1,"1,000 Dollars",Total value of production,False,19361991.0,TOTAL,11.9,0,0,Total acres operated,30,"1,000 Acres",Total acres operated,34104.0,19.8,Very Low,2012-04-13,12104
2016,All survey states,Structural Characteristics,All Farms,Operator Age,34 years or younger,All Farms,TOTAL,Total value of production,20,1,"1,000 Dollars",Total value of production,False,20225938.0,TOTAL,18.6,0,0,Total acres operated,30,"1,000 Acres",Total acres operated,33698.0,13.2,Very Low,2016-01-13,1613
2011,All survey states,Structural Characteristics,All Farms,Operator Age,34 years or younger,All Farms,TOTAL,Total value of production,20,1,"1,000 Dollars",Total value of production,False,21662526.0,TOTAL,14.7,0,0,Total acres operated,30,"1,000 Acres",Total acres operated,41287.0,17.2,Very Low,2011-12-17,11351
2014,All survey states,Structural Characteristics,All Farms,Operator Age,34 years or younger,All Farms,TOTAL,Total value of production,20,1,"1,000 Dollars",Total value of production,False,21708239.0,TOTAL,8.7,0,0,Total acres operated,30,"1,000 Acres",Total acres operated,34121.0,11.2,Very Low,2014-12-05,14339
2016,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",All Farms,TOTAL,Total value of production,20,1,"1,000 Dollars",Total value of production,False,21960235.0,TOTAL,4.5,0,0,Total acres operated,30,"1,000 Acres",Total acres operated,128814.0,11.6,Very Low,2016-05-14,16135
2016,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",All Farms,TOTAL,Total value of production,20,1,"1,000 Dollars",Total value of production,False,22486858.0,TOTAL,1.8,0,0,Total acres operated,30,"1,000 Acres",Total acres operated,332676.0,13.0,Very Low,2016-04-09,16100
2015,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",All Farms,TOTAL,Total value of production,20,1,"1,000 Dollars",Total value of production,False,23184720.0,TOTAL,3.4,0,0,Total acres operated,30,"1,000 Acres",Total acres operated,110380.0,9.3,Very Low,2015-02-11,1542
2013,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",All Farms,TOTAL,Total value of production,20,1,"1,000 Dollars",Total value of production,False,24097167.0,TOTAL,1.6,0,0,Total acres operated,30,"1,000 Acres",Total acres operated,106750.0,5.7,Very Low,2013-04-01,1391
